sample_index,area_bin,low_signal,true_area,pred_area,area_abs_error,true_centroid_x,pred_centroid_x,centroid_x_abs_error,true_centroid_y,pred_centroid_y,centroid_y_abs_error,geometry_l2_error,max_abs_bz,peak_to_peak_bz,mean_abs_bz,std_bz,l2_energy_bz,current_baseline_iou
0,large,False,0.042100001126527786,0.02943921461701393,0.012660786509513855,0.42832931876182556,0.42957937717437744,0.0012500584125518799,0.5302790403366089,0.4829224944114685,0.04735654592514038,0.04903570935130119,8.726391792297363,14.303486824035645,2.642909288406372,2.962388753890991,2239.6494140625,0.4634420697412823
1,small,True,0.0101500004529953,0.02313026413321495,0.01298026368021965,0.35128843784332275,0.3797372579574585,0.028448820114135742,0.5653579831123352,0.48033973574638367,0.08501824736595154,0.09058655798435211,6.08453893661499,9.286437034606934,2.049067735671997,1.8765476942062378,1190.6055908203125,0.11699779249448124
2,small,False,0.02305000089108944,0.026396583765745163,0.0033465828746557236,0.7184402942657471,0.7381654977798462,0.01972520351409912,0.5320888161659241,0.5247951149940491,0.007293701171875,0.021295102313160896,7.990758895874023,13.096033096313477,2.2892165184020996,2.708052396774292,1814.0445556640625,0.5553145336225597
3,large,True,0.07084999978542328,0.05970209091901779,0.011147908866405487,0.504821240901947,0.5149045586585999,0.010083317756652832,0.46725553274154663,0.49557730555534363,0.028321772813796997,0.0320635624229908,7.529473304748535,13.199891090393066,2.8576574325561523,3.2109720706939697,2504.9306640625,0.21415034744156664
4,medium,False,0.03644999861717224,0.03423139452934265,0.00221860408782959,0.35198625922203064,0.3604125380516052,0.008426278829574585,0.6679137349128723,0.5070016980171204,0.16091203689575195,0.16114778816699982,11.381318092346191,20.373550415039062,3.4772353172302246,4.206070899963379,4073.197265625,0.24045801526717558
5,medium,False,0.03914999961853027,0.0396110974252224,0.0004610978066921234,0.6752215623855591,0.6835687160491943,0.008347153663635254,0.6273849606513977,0.522127628326416,0.10525733232498169,0.10558879375457764,13.777337074279785,24.532691955566406,3.6757760047912598,5.086127758026123,5497.05126953125,0.38615847542627885
6,small,True,0.01899999938905239,0.016360921785235405,0.002639077603816986,0.6109230518341064,0.5922762155532837,0.018646836280822754,0.4368952810764313,0.49620163440704346,0.05930635333061218,0.062224697321653366,4.9213995933532715,6.937464714050293,1.707674503326416,1.3445675373077393,793.802734375,0.0
7,large,False,0.05204999819397926,0.04308221489191055,0.00896778330206871,0.37499701976776123,0.3917328119277954,0.01673579216003418,0.700336754322052,0.5014143586158752,0.19892239570617676,0.19982649385929108,16.825197219848633,30.941150665283203,4.909976482391357,6.385315418243408,8713.2529296875,0.2020618556701031
8,small,False,0.017550000920891762,0.027640655636787415,0.010090654715895653,0.7062377333641052,0.7281027436256409,0.021865010261535645,0.38101819157600403,0.5274182558059692,0.1464000642299652,0.14836737513542175,9.147215843200684,14.993766784667969,2.46907901763916,3.0016562938690186,2169.741943359375,0.1800356506238859
9,medium,False,0.028200000524520874,0.030062895268201828,0.001862894743680954,0.49054670333862305,0.4936803877353668,0.0031336843967437744,0.5681997537612915,0.4927072525024414,0.0754925012588501,0.07558047771453857,8.918783187866211,15.071222305297852,2.6834380626678467,3.1274919509887695,2390.519775390625,0.4795417348608838
10,small,False,0.024450000375509262,0.03258950635790825,0.008139505982398987,0.4062747359275818,0.40834489464759827,0.0020701587200164795,0.4654933512210846,0.4871550500392914,0.021661698818206787,0.023232869803905487,10.143938064575195,17.26621437072754,3.0062878131866455,3.551701307296753,3016.1708984375,0.7697594501718213
11,small,False,0.024399999529123306,0.028271090239286423,0.0038710907101631165,0.4055832624435425,0.4055594205856323,2.384185791015625e-05,0.632368803024292,0.4832936227321625,0.14907518029212952,0.14912544190883636,7.785528659820557,12.516802787780762,2.428950309753418,2.6074745655059814,1831.5479736328125,0.2238219895287958
