split,sample_index,defect_type,true_area,area_bin,defect_centroid_x,defect_centroid_y,max_abs_bz,peak_to_peak_bz,mean_abs_bz,std_bz,l2_energy_bz,signal_snr,bz_peak_x,bz_peak_value,peak_centroid_dx_abs,low_signal,num_defects,num_vertices,complexity_level,baseline_iou,baseline_dice,baseline_pred_area,baseline_area_error,baseline_center_error,baseline_pred_area_zero,baseline_pred_area_lt_true,baseline_pred_area_gt_true
train,0,rotated_rect,5.984475857952319,small,4.8975795061533685,3.6615519068623317,5.514237880706787,8.53333568572998,1.83705494384747,1.6980357975491152,988.5775932399803,nan,6.25628137588501,5.514237880706787,1.3587018697316413,True,1.0,nan,2.0,nan,nan,nan,nan,nan,,,
train,1,polygon,4.933766356174431,small,-2.895030706017106,3.111672274860335,6.409055233001709,9.982722043991089,2.0977711873874068,2.037049455342743,1293.0426711082248,nan,-1.733668327331543,6.409055233001709,1.161362378685563,True,1.0,9.0,2.0,nan,nan,nan,nan,nan,,,
train,2,multi_defect,12.045090085598687,medium,-1.491433147515268,4.993678888991268,7.201965808868408,10.19444751739502,2.2253903858549893,2.294292608684003,1534.145752483745,nan,2.336683511734009,7.201965808868408,3.828116659249277,True,2.0,nan,3.0,nan,nan,nan,nan,nan,,,
train,3,polygon,3.273949896844144,small,-7.810097044567729,4.72962180403776,6.083347320556641,9.008726596832275,2.022849560719915,1.7716587335333356,1140.9482905347468,nan,-5.050251483917236,6.083347320556641,2.7598455606504926,True,1.0,7.0,2.0,nan,nan,nan,nan,nan,,,
train,4,rotated_rect,6.974274663974967,small,2.198766762122317,5.881522652363673,4.681802749633789,6.282235741615295,1.6666097146831453,1.218069023961651,741.927231605736,nan,3.5427136421203613,4.681802749633789,1.3439468799980445,True,1.0,nan,2.0,nan,nan,nan,nan,nan,,,
train,5,multi_defect,20.3137170343725,large,0.6666390410829699,6.738070358222035,13.710872650146484,27.036142349243164,4.851146842073649,6.090433272330753,7828.138985424599,nan,-4.145728588104248,-13.710872650146484,4.812367629187218,False,3.0,nan,3.0,nan,nan,nan,nan,nan,,,
train,6,rotated_rect,14.283558154603753,large,-4.663723741258893,5.250263831000338,21.66333770751953,40.112443923950195,6.324369728267193,8.313421191403773,14462.218343820588,nan,-3.241205930709839,21.66333770751953,1.4225178105490546,False,1.0,nan,2.0,nan,nan,nan,nan,nan,,,
train,7,rotated_rect,3.9896505719682125,small,-0.9568836524627591,3.356465411550216,5.886552810668945,8.711212635040283,1.953199309327174,1.7650616835421538,1091.6533717441216,nan,0.37688443064689636,5.886552810668945,1.3337680831096554,True,1.0,nan,2.0,nan,nan,nan,nan,nan,,,
train,8,polygon,10.52232269171769,medium,5.678137421780488,6.161616162522312,11.911688804626465,20.894346237182617,3.214217792371055,4.298240508394779,4034.1015959033944,nan,7.010050296783447,11.911688804626465,1.331912875002959,False,1.0,7.0,2.0,nan,nan,nan,nan,nan,,,
train,9,polygon,10.93346988806556,medium,-2.5697428641379045,4.240454680076216,7.686786651611328,12.149881362915039,2.303065090333112,2.4281215040270143,1644.4220221536943,nan,-1.1306532621383667,7.686786651611328,1.4390896019995378,False,1.0,5.0,2.0,nan,nan,nan,nan,nan,,,
