question,answer,evidence,decision
模型是否能 fit train,否,train_total_normalized_mae=0.390546; train_shape_accuracy=1.000000,train_fit_check
neural 是否 beat mean baseline,是,neural_score=1.069896; mean_score=1.438349; neural_shape_acc=0.812500; mean_shape_acc=0.000000,mean_baseline_comparison
neural 是否 beat feature baseline,综合 score 是；纯回归 MAE 否,neural_score=1.069896; feature_score=1.228883; neural_total_mae=1.004271; feature_total_mae=0.878883; feature_model=svr_rbf_C10,feature_baseline_comparison
L/W/D 是否可学习,风险,neural=1.629/1.597/0.159 mm; mean=1.738/1.680/0.130 mm,dimension_learnability
burial_depth 是否可学习,风险,neural=1.947 mm; mean=1.322 mm,burial_depth_learnability
center_xyz 是否可学习,是,neural=2.666 mm; mean=6.390 mm,center_learnability
shape_type 是否可分类,局部可分，但评价不完整,"neural_acc=0.812500; mean_acc=0.000000; feature_acc=0.000000; split_shape_counts={'train': {'internal_sphere': 24, 'internal_ellipsoid': 36, 'internal_cuboid': 4}, 'val': {'internal_cuboid': 16}, 'test': {'internal_cuboid': 16}}",shape_classification
split 覆盖是否足够,否,"split_shape_counts={'train': {'internal_sphere': 24, 'internal_ellipsoid': 36, 'internal_cuboid': 4}, 'val': {'internal_cuboid': 16}, 'test': {'internal_cuboid': 16}}; split_burial_counts={'train': {'shallow': 19, 'medium': 15, 'deep': 15, 'deep_plus': 15}, 'val': {'shallow': 5, 'medium': 9, 'deep': 2}, 'test': {'deep': 7, 'deep_plus': 9}}",split_coverage
N=96 是否足够,不足；val/test shape 或 burial 覆盖不完整，需要扩展或重做分层 split。,21.1 pilot pack 覆盖 3 shape、4 burial、3 size，但每组 test 样本很少。,dataset_scale
下一步唯一建议,A_expand_internal_defect_dataset,val/test split 覆盖不完整，当前 gate 只能证明有可学习信号，不能支撑稳健 shape/depth 结论。,route
