sample_id,source_pack,split,defect_type,center_x,center_y,width,length,depth,angle,n_lines,signal_length,signal_shape,mask_shape,mask_area,delta_bz_min,delta_bz_max,delta_bz_mean,delta_bz_std,has_bz_no_defect,has_bz_defect,has_delta_bz,has_mask,has_coords,delta_matches_defect_minus_reference,notes
rect_0001,pilot_v2_rectangular_notch,train,rectangular_notch,-0.00075,0.001,0.01,0.0095,0.001,0.0,3,201,"(3, 201)","(64, 128)",480,-0.0019133939309248105,0.0019265660885201745,-2.4033562666926288e-05,0.0007467903728244743,True,True,True,True,True,True,merged pilot_v4 sample
rect_0002,pilot_v2_rectangular_notch,train,rectangular_notch,0.003,0.0,0.008,0.006,0.0016,0.0,3,201,"(3, 201)","(64, 128)",234,-0.001507913534599509,0.0012661985324593965,-6.752034175161746e-05,0.0005894146697775443,True,True,True,True,True,True,merged pilot_v4 sample
rect_0003,pilot_v2_rectangular_notch,train,rectangular_notch,0.003,-0.0005,0.016,0.0065,0.0016,0.0,3,201,"(3, 201)","(64, 128)",525,-0.0015653342121237784,0.0013707096685506483,-5.045027842793362e-05,0.0006137753406688627,True,True,True,True,True,True,merged pilot_v4 sample
rect_0004,pilot_v2_rectangular_notch,train,rectangular_notch,-0.00075,0.0005,0.012,0.007,0.001,0.0,3,201,"(3, 201)","(64, 128)",418,-0.001652444202174942,0.002016329554422782,4.47513658328007e-05,0.0007225003733362451,True,True,True,True,True,True,merged pilot_v4 sample
rect_0005,pilot_v2_rectangular_notch,train,rectangular_notch,0.0,0.001,0.008,0.007,0.0019,0.0,3,201,"(3, 201)","(64, 128)",264,-0.0015149063642124552,0.0012097972235544743,-7.593215927269734e-05,0.0005089076677895527,True,True,True,True,True,True,merged pilot_v4 sample
rect_0006,pilot_v2_rectangular_notch,train,rectangular_notch,-0.003,-0.0005,0.009,0.006,0.0019,0.0,3,201,"(3, 201)","(64, 128)",266,-0.0014571779201526932,0.0012983504836472383,-4.031203258575608e-06,0.0005628498254291866,True,True,True,True,True,True,merged pilot_v4 sample
rect_0007,pilot_v2_rectangular_notch,train,rectangular_notch,-0.00075,0.001,0.014,0.01,0.0019,0.0,3,201,"(3, 201)","(64, 128)",704,-0.0019160470612097139,0.0020264641763368574,2.402420982692949e-05,0.0006965310677851523,True,True,True,True,True,True,merged pilot_v4 sample
rect_0008,pilot_v2_rectangular_notch,train,rectangular_notch,0.00075,0.0,0.014,0.0075,0.0013,0.0,3,201,"(3, 201)","(64, 128)",528,-0.0016747026361254632,0.0016996434849900846,-4.239728030569556e-05,0.0007257615625173737,True,True,True,True,True,True,merged pilot_v4 sample
rect_0009,pilot_v2_rectangular_notch,train,rectangular_notch,-0.00225,0.001,0.013,0.007,0.0013,0.0,3,201,"(3, 201)","(64, 128)",462,-0.0020861941761959124,0.0015165802662540366,-1.7547494411537613e-06,0.0006225683649237505,True,True,True,True,True,True,merged pilot_v4 sample
rect_0010,pilot_v2_rectangular_notch,train,rectangular_notch,0.00225,-0.0005,0.012,0.006,0.0025,0.0,3,201,"(3, 201)","(64, 128)",361,-0.0014201467964567536,0.0012855412785202028,-6.933372151128362e-05,0.00047302567989103227,True,True,True,True,True,True,merged pilot_v4 sample
