source_pack,sample_id,split,curvature_template,depth_bin,size_bin,aspect_bin,schema_pass,delta_max_abs_error,defect_signal_norm
v1_assembled_source,rbc_pilot_001_shallow_small_compact_sharp,val,sharp,shallow,small_compact,compact,True,0.0,0.021304830413176254
v1_assembled_source,rbc_pilot_002_shallow_medium_balanced_sharp,test,sharp,shallow,medium_balanced,balanced,True,0.0,0.022820197825131765
v1_assembled_source,rbc_pilot_003_shallow_large_wide_sharp,train,sharp,shallow,large_wide,wide,True,0.0,0.022530048580330007
v1_assembled_source,rbc_pilot_004_shallow_elongated_sharp,train,sharp,shallow,elongated,narrow,True,0.0,0.020968430744842295
v1_assembled_source,rbc_pilot_005_medium_small_compact_sharp,val,sharp,medium,small_compact,compact,True,0.0,0.019825830879812805
v1_assembled_source,rbc_pilot_006_medium_medium_balanced_sharp,train,sharp,medium,medium_balanced,balanced,True,0.0,0.021132099070066714
v1_assembled_source,rbc_pilot_007_medium_large_wide_sharp,train,sharp,medium,large_wide,wide,True,0.0,0.02166543074796719
v1_assembled_source,rbc_pilot_008_medium_elongated_sharp,train,sharp,medium,elongated,narrow,True,0.0,0.020792765571580874
v1_assembled_source,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,small_compact,compact,True,0.0,0.01925172722208746
v1_assembled_source,rbc_pilot_010_deep_medium_balanced_sharp,train,sharp,deep,medium_balanced,balanced,True,0.0,0.01972433390733259
v1_assembled_source,rbc_pilot_011_deep_large_wide_sharp,train,sharp,deep,large_wide,wide,True,0.0,0.02089288016581688
v1_assembled_source,rbc_pilot_013_shallow_small_compact_round,train,round,shallow,small_compact,compact,True,0.0,0.020069777747496145
v1_assembled_source,rbc_pilot_014_shallow_medium_balanced_round,train,round,shallow,medium_balanced,balanced,True,0.0,0.022750269648992412
v1_assembled_source,rbc_pilot_015_shallow_large_wide_round,test,round,shallow,large_wide,wide,True,0.0,0.022314978847840988
v1_assembled_source,rbc_pilot_016_shallow_elongated_round,train,round,shallow,elongated,narrow,True,0.0,0.02126605427502803
v1_assembled_source,rbc_pilot_017_medium_small_compact_round,train,round,medium,small_compact,compact,True,0.0,0.019986524790100928
v1_assembled_source,rbc_pilot_018_medium_medium_balanced_round,val,round,medium,medium_balanced,balanced,True,0.0,0.021607816393026044
v1_assembled_source,rbc_pilot_019_medium_large_wide_round,test,round,medium,large_wide,wide,True,0.0,0.022102410885639134
v1_assembled_source,rbc_pilot_020_medium_elongated_round,train,round,medium,elongated,narrow,True,0.0,0.019763732627182506
