item,value,decision_note
stage,20.59,profile-compatible forward surrogate POC
stage_c_refinement_executed,false,skipped because Stage B usable-surrogate gate failed
selected_surrogate,PFS3_profile_station_sequence,selected by validation score but not usable
selected_val_nrmse,0.384092,waveform fit reasonable
selected_test_nrmse,0.399492,test final metric for selected candidate
selected_val_ordering_accuracy,0.660714,below conservative usable threshold 0.70
selected_test_ordering_accuracy,0.892857,test was not used for selection
selected_val_mismatch_rate,0.339286,above target threshold 0.30
selected_test_mismatch_rate,0.107143,test was not used for selection
selected_val_residual_error_correlation,0.315028,positive but insufficient with ordering/mismatch gate failure
selected_test_residual_error_correlation,0.354411,test final diagnostic only
profile_compatible_surrogate_value,limited,waveform improves but residual objective not validation-reliable
profile_forward_refinement_value,not_tested,not run because surrogate gate failed
next_recommendation,A_expand_profile_perturbation_data,more local coverage before forward-guided refinement
