sample_id,shape_type,burial_depth_level,size_level,center_xyz_m,center_x_m,center_y_m,center_z_m,L_m,W_m,D_m,burial_depth_m,depth_to_surface_m,scan_surface,sensor_z_m,axis_order,scan_line_y_m,sensor_x_count,sensor_x_start_m,sensor_x_stop_m,expected_label_fields,ground_truth_method,cavity_internal,split_tag,geometry_notes
internal_smoke_001,internal_sphere,shallow,small,"[0.0,0.0,-0.0015]",0.0,0.0,-0.0015,0.001,0.001,0.001,0.001,0.001,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""ground_truth_method"",""cavity_internal""]",COMSOL_parametric_internal_cavity,True,smoke_only_no_training_split,Internal cavity must remain fully buried inside the steel block; center_z_m assumes top scan surface z=0 and steel interior z<0.
internal_smoke_002,internal_sphere,shallow,large,"[0.0,0.0,-0.0024000000000000002]",0.0,0.0,-0.0024000000000000002,0.0018,0.0018,0.0018,0.0015,0.0015,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""ground_truth_method"",""cavity_internal""]",COMSOL_parametric_internal_cavity,True,smoke_only_no_training_split,Internal cavity must remain fully buried inside the steel block; center_z_m assumes top scan surface z=0 and steel interior z<0.
internal_smoke_003,internal_sphere,medium,medium,"[0.0,0.0,-0.0037]",0.0,0.0,-0.0037,0.0014,0.0014,0.0014,0.003,0.003,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""ground_truth_method"",""cavity_internal""]",COMSOL_parametric_internal_cavity,True,smoke_only_no_training_split,Internal cavity must remain fully buried inside the steel block; center_z_m assumes top scan surface z=0 and steel interior z<0.
internal_smoke_004,internal_sphere,deep,medium,"[0.0,0.0,-0.0047]",0.0,0.0,-0.0047,0.0014,0.0014,0.0014,0.004,0.004,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""ground_truth_method"",""cavity_internal""]",COMSOL_parametric_internal_cavity,True,smoke_only_no_training_split,Internal cavity must remain fully buried inside the steel block; center_z_m assumes top scan surface z=0 and steel interior z<0.
internal_smoke_005,internal_ellipsoid,shallow,small,"[-0.004,0.0,-0.0015]",-0.004,0.0,-0.0015,0.003,0.002,0.001,0.001,0.001,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""ground_truth_method"",""cavity_internal""]",COMSOL_parametric_internal_cavity,True,smoke_only_no_training_split,Internal cavity must remain fully buried inside the steel block; center_z_m assumes top scan surface z=0 and steel interior z<0.
internal_smoke_006,internal_ellipsoid,shallow,large,"[-0.004,0.0,-0.0024000000000000002]",-0.004,0.0,-0.0024000000000000002,0.006,0.004,0.0018,0.0015,0.0015,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""ground_truth_method"",""cavity_internal""]",COMSOL_parametric_internal_cavity,True,smoke_only_no_training_split,Internal cavity must remain fully buried inside the steel block; center_z_m assumes top scan surface z=0 and steel interior z<0.
internal_smoke_007,internal_ellipsoid,medium,medium,"[-0.004,0.0,-0.0037]",-0.004,0.0,-0.0037,0.005,0.003,0.0014,0.003,0.003,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""ground_truth_method"",""cavity_internal""]",COMSOL_parametric_internal_cavity,True,smoke_only_no_training_split,Internal cavity must remain fully buried inside the steel block; center_z_m assumes top scan surface z=0 and steel interior z<0.
internal_smoke_008,internal_ellipsoid,deep,medium,"[-0.004,0.0,-0.0047]",-0.004,0.0,-0.0047,0.005,0.003,0.0014,0.004,0.004,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""ground_truth_method"",""cavity_internal""]",COMSOL_parametric_internal_cavity,True,smoke_only_no_training_split,Internal cavity must remain fully buried inside the steel block; center_z_m assumes top scan surface z=0 and steel interior z<0.
internal_smoke_009,internal_cuboid,shallow,small,"[0.004,0.0,-0.0015]",0.004,0.0,-0.0015,0.003,0.002,0.001,0.001,0.001,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""ground_truth_method"",""cavity_internal""]",COMSOL_parametric_internal_cavity,True,smoke_only_no_training_split,Internal cavity must remain fully buried inside the steel block; center_z_m assumes top scan surface z=0 and steel interior z<0.
internal_smoke_010,internal_cuboid,shallow,large,"[0.004,0.0,-0.0024000000000000002]",0.004,0.0,-0.0024000000000000002,0.006,0.004,0.0018,0.0015,0.0015,top_z_0,0.008,"[""Bx"",""By"",""Bz""]","[-0.001,0.0,0.001]",201,-0.04,0.04,"[""L_m"",""W_m"",""D_m"",""burial_depth_m"",""depth_to_surface_m"",""defect_center_xyz_m"",""shape_type"",""ground_truth_method"",""cavity_internal""]",COMSOL_parametric_internal_cavity,True,smoke_only_no_training_split,Internal cavity must remain fully buried inside the steel block; center_z_m assumes top scan surface z=0 and steel interior z<0.
