gate_group,gate_id,subset,metric,baseline_value,refined_value,oracle_value,threshold_or_condition,pass,interpretation
primary,P1_target_profile_rmse,refinement_target,profile_depth_rmse_m_mean,0.0005095183510563877,0.00022038641318798514,7.848969549441313e-05,refined < baseline,True,Target subset profile RMSE must decrease.
primary,P2_target_er_like,refinement_target,Er_like_error_mean,2.8001573937890787,0.9099413634161813,0.2892552233304937,refined < baseline,True,Target subset Er-like error must decrease.
primary,P3_target_iou_dice,refinement_target,IoU_mean_and_Dice_mean,IoU=0.3236014023399166; Dice=0.480524080842404,IoU=0.5785234653693038; Dice=0.709451842350591,IoU=0.8896647641172107; Dice=0.9408601046285133,IoU and Dice both increase,True,Target subset projected-mask IoU and Dice must improve together.
primary,P4_forward_residual,refinement_target,feature_residual_mse_mean,70.59442614894292,0.5641050369556577,not_applicable,refined residual < baseline residual,True,Forward feature residual must decrease.
primary,P5_residual_profile_alignment,refinement_target,forward_residual_and_profile_mask,residual=70.59442614894292; rmse=0.0005095183510563877; iou=0.3236014023399166; dice=0.480524080842404,residual=0.5641050369556577; rmse=0.00022038641318798514; iou=0.5785234653693038; dice=0.709451842350591,not_applicable,residual decreases while RMSE decreases and IoU/Dice increase,True,Forward residual and profile/mask metrics must improve in the same direction.
secondary,S1_rbc_like_control,rbc_like_smooth_pit,profile_rmse_and_Dice,rmse=0.0005011810231545006; dice=0.49355620883261464,rmse=0.00016519893431601588; dice=0.6897547432153187,not_applicable,RMSE does not increase and Dice does not decrease,True,RBC-like control must not degrade.
failure,F1_multi_pit_success_credit,rbc_not_representable_or_multi_pit,success_accounting,16,negative_control_no_refinement,not_applicable,multi-pit/rbc_not_representable rows are not RBC refinement success,True,Representation failures must remain negative controls.
failure,F2_lwd_physical_bounds,all_refined_rows,L_W_D_bounds,declared_R1_bounds,checked,not_applicable,L/W/D remain within R1 bounds,True,Physical size/depth parameters must remain bounded.
failure,F3_w_parameter_bounds,all_refined_rows,wLD_wWD_wLW_bounds,declared_R1_bounds,checked,not_applicable,"w parameters remain within [0.03, 10.0]",True,Curvature weights must remain bounded.
failure,F4_current_baseline_unchanged,repository_docs,CURRENT_BASELINE.md,unchanged_required,unchanged,not_applicable,CURRENT_BASELINE.md unchanged,True,Formal benchmark is not a baseline transition.
