field,shape_or_type,required_for_20_66_smoke,required_for_20_67_pilot,notes
schema_version,string,yes,yes,true3d_profile_v1_piao_rbc
sample_ids,N,yes,yes,unique ids
split,N,no,yes,smoke may use diagnostic split only
defect_types,N,yes,yes,piao_rbc_single or degenerate rect-like
component_count,N,yes,yes,pilot fixed 1
component_valid,"N,1",yes,yes,boolean
delta_b_multi_axis,"N,A,L,X",yes,yes,A=3 Bx By Bz
b_defect_multi_axis,"N,A,L,X",yes,yes,no fake fields
b_no_defect_multi_axis,"N,A,L,X",yes,yes,no-defect reference
axis_names,A,yes,yes,Bx By Bz
axis_expressions,A,yes,yes,mf.Bx mf.By mf.Bz
sensor_x,X,yes,yes,201 points expected but not hard-coded here
scan_line_y,L,yes,yes,existing multiline convention
sensor_z_m,scalar,yes,yes,20.66 fixed 0.008
rbc_params,"N,1,6",yes,yes,primary label
rbc_param_names,6,yes,yes,L W D wLD wWD wLW
profile_pose,"N,1,5",yes,yes,center_x center_y angle length width
profile_depth_max_m,"N,1",yes,yes,max depth
profile_u,Ku,yes,yes,profile station axis
profile_v,Kv,yes,yes,profile transverse axis
profile_depth_grid_m,"N,1,Ku,Kv",yes,yes,derived from RBC
profile_depth_map_xy_m,"N,H,W",yes,yes,projected depth map
profile_footprint_mask,"N,H,W",yes,yes,projection from depth map
masks,"N,H,W",yes,yes,2D compatibility mask
mask_x,W,yes,yes,mask grid x
mask_y,H,yes,yes,mask grid y
quality_to_2d_mask_json,N,no,yes,projection QA
geometry_params_json,N,yes,yes,human audit metadata
source_metadata_json,N,yes,yes,provenance
