group_key,group_value,source_count,topup_planned,assembled_expected,target
split,train,36,56,92,80
split,val,10,12,22,20
split,test,10,12,22,20
curvature_template,sharp,11,13,24,24
curvature_template,round,11,13,24,24
curvature_template,boxy,12,12,24,24
curvature_template,LD_dominant,11,13,24,24
curvature_template,WD_dominant,11,13,24,24
depth_bin,shallow,20,20,40,40
depth_bin,medium,20,20,40,40
depth_bin,deep,16,24,40,40
size_bin,small_compact,14,16,30,30
size_bin,medium_balanced,15,15,30,30
size_bin,large_wide,15,15,30,30
size_bin,elongated,12,18,30,30
