case_type,sample_id,split,curvature_template,depth_bin,aspect_bin,size_bin,normalized_param_mae_mean,dimension_param_mae_norm,curvature_param_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae_mean,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,notes
highest_total_param_error,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,elongated,1.3689192533493042,1.1688761711120605,1.5689622163772583,1.584466576576233,8.182263374328613,2.1803691387176514,0.39971327781677246,0.29089999198913574,0.34080183506011963,0.3438050448894501,0.6188118811881188,0.764525993883792,0.0012984290951862931,ranked_by=normalized_param_mae_mean; reverse=True
highest_total_param_error,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,large_wide,1.3155020475387573,0.991215705871582,1.639788269996643,3.8477611541748047,2.783844232559204,2.6442198753356934,0.3979962468147278,0.33190250396728516,0.3482581377029419,0.3593856394290924,0.692,0.817966903073286,0.0014706799993291497,ranked_by=normalized_param_mae_mean; reverse=True
highest_total_param_error,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,elongated,1.11316978931427,0.8188859820365906,1.4074538946151733,3.2465291023254395,8.660536766052246,0.007051043212413788,0.36493194103240967,0.26177358627319336,0.29940080642700195,0.30870211124420166,0.453781512605042,0.6242774566473989,0.0002542581642046571,ranked_by=normalized_param_mae_mean; reverse=True
highest_total_param_error,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,small_compact,1.073071837425232,0.5432489514350891,1.60289466381073,2.4721920490264893,0.608741283416748,1.671295166015625,0.3489801287651062,0.331951379776001,0.3687189817428589,0.34988346695899963,0.6929824561403509,0.8186528497409327,0.0005388809950090945,ranked_by=normalized_param_mae_mean; reverse=True
highest_total_param_error,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,small_compact,1.027737021446228,0.5179514288902283,1.5375226736068726,3.2744481563568115,1.7973971366882324,0.9543082118034363,0.3389570713043213,0.30926525592803955,0.3582782745361328,0.33550021052360535,0.5119047619047619,0.6771653543307087,0.0005117618711665273,ranked_by=normalized_param_mae_mean; reverse=True
highest_total_param_error,rbc_v3topup_122_test_boxy_deep_balanced,test,boxy,deep,balanced,medium_balanced,0.9913170337677002,0.7959871292114258,1.1866469383239746,5.376160144805908,3.7086997032165527,1.0604134798049927,0.28507518768310547,0.26283693313598633,0.23407697677612305,0.2606630325317383,0.652046783625731,0.7893805309734513,0.0007001463673077524,ranked_by=normalized_param_mae_mean; reverse=True
highest_total_param_error,rbc_v2topup_077_buffer_shallow_small_compact_sharp,test,sharp,shallow,compact,small_compact,0.8729714751243591,0.1854562908411026,1.5604864358901978,0.013538636267185211,1.3301326036453247,0.3936261534690857,0.26850569248199463,0.40137624740600586,0.3505536913871765,0.34014520049095154,0.7377049180327869,0.8490566037735849,0.00026858787168748677,ranked_by=normalized_param_mae_mean; reverse=True
highest_total_param_error,rbc_v3topup_114_test_sharp_deep_balanced,test,sharp,deep,balanced,medium_balanced,0.8727510571479797,0.6206672787666321,1.1248348951339722,0.794926643371582,0.6586704254150391,2.4213812351226807,0.21344786882400513,0.23754209280014038,0.28214597702026367,0.24437864124774933,0.8232758620689655,0.9030732860520094,0.0008533278596587479,ranked_by=normalized_param_mae_mean; reverse=True
highest_total_param_error,rbc_v3topup_123_test_boxy_medium_wide,test,boxy,medium,wide,large_wide,0.8669916987419128,0.06806907057762146,1.6659144163131714,0.21451152861118317,0.3767293095588684,0.13078446686267853,0.3910132050514221,0.3494616746902466,0.3543676733970642,0.36494752764701843,0.9170854271356784,0.9567496723460026,0.00030969345243647695,ranked_by=normalized_param_mae_mean; reverse=True
highest_total_param_error,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,small_compact,0.8347230553627014,0.9282703995704651,0.741175651550293,7.0147199630737305,2.6673526763916016,1.6164320707321167,0.14630740880966187,0.15198570489883423,0.18505769968032837,0.16111694276332855,0.4696132596685083,0.6390977443609023,0.0006115866708569229,ranked_by=normalized_param_mae_mean; reverse=True
