layer,factor,levels,simulation_type,requires_comsol,requires_new_labels,expected_failure_mode,next_stage
Layer 1 observation perturbation,additive_noise,"0%,5%,10%,15%,20% relative to train signal scale",postprocess_delta_b,false,false,profile RMSE and L/W/D degrade as SNR drops; channel-specific noise may expose Bx/By/Bz reliance,20.88
Layer 1 observation perturbation,amplitude_scaling_sensor_gain,"per-axis and global scale: 0.8,0.9,1.0,1.1,1.2",postprocess_delta_b,false,false,dimension/depth bias from gain mismatch,20.88
Layer 1 observation perturbation,baseline_offset_zero_drift,"global/per-axis DC offset at 0%,2%,5%,10% signal p95",postprocess_delta_b,false,false,false profile broadening or depth bias from nonzero background,20.88
Layer 1 observation perturbation,no_defect_reference_error,"low-frequency residual field and per-line bias at 2%,5%,10%",postprocess_delta_b,false,false,background subtraction error corrupts delta_b and confuses profile depth,20.88
Layer 1 diagnostic; Layer 2 for formal spatial claim,sensor_x_resampling_jitter,"sub-sample x jitter: 0.25,0.5,1.0 sensor steps",postprocess_interpolation for 20.88 diagnostic; formal_by_COMSOL for spatial claim,false for diagnostic-only 20.88; true for formal 20.89 claim,false,edge/profile localization error and degraded L/W inference,20.88_then_20.89_if_sensitive
Layer 1 observation perturbation,channel_dropout_partial_missing,"drop Bx, By, Bz, one scan line, or one axis-line pair",postprocess_delta_b_masking,false,false,identifies whether a single axis/line dominates prediction,20.88
Layer 2 approximate now; COMSOL preferred,liftoff_variation,"sensor_z around 0.008 m: 0.006,0.007,0.008,0.009,0.010",approximate_by_filtering_or_amplitude_decay; formal_by_COMSOL,true for formal claim,false,depth and amplitude ambiguity under changing sensor height,20.89
Layer 2 approximate now; COMSOL preferred,scan_line_y_offset,"line offsets +/-0.25, +/-0.5, +/-1.0 mm",approximate_by_line_interpolation; formal_by_COMSOL,true for formal claim,false,width/aspect/profile shift error from off-center scan,20.89
Layer 2 approximate now; COMSOL preferred,Bx_By_Bz_spatial_misalignment,axis-specific x/y shifts +/-0.25 to +/-1.0 sensor step,postprocess_interpolation; formal_by_COMSOL_or_calibrated_sensor_model,true for formal claim,false,multi-axis phase mismatch corrupts profile features,20.89
Layer 2 approximate now; COMSOL preferred,source_strength_variation,"Jscale/gain proxy: 0.8,0.9,1.0,1.1,1.2",amplitude_proxy_for_screen; formal_by_COMSOL,true for formal claim,false,confounds material/source calibration with defect size/depth,20.89
Layer 2 approximate now; COMSOL preferred,material_BH_proxy_variation,small permeability/B-H proxy bins if COMSOL supports stable material sweep,proxy_only_for_design; formal_by_COMSOL,true,false,field amplitude/shape changes not explainable by current labels,20.89_or_later
Layer 3 must new COMSOL/new labels,surface_shape_extension,"cuboid, ellipsoid, flat-bottom, RBC-like",new_COMSOL_pack,true,true for shape_type and shape-specific descriptors,six RBC params cannot represent non-RBC profiles without shape conditioning,20.90
Layer 3 must new COMSOL/new labels,internal_buried_defect,burial_depth/depth_to_surface prototype bins,new_COMSOL_pack_and_schema_design,true,true,surface profile labels and projected mask no longer define the defect fully,20.91
Layer 3 must new COMSOL/new labels,multi_defect,two or more true joint-solved defects,new_COMSOL_joint_solve,true,true for instance/topology labels,linear delta_b superposition is not sufficient for formal data; instance ambiguity,future_after_20.90
Layer 3 must new COMSOL/new labels,arbitrary_free_form_profile,profile basis/free-form surface descriptors,new_COMSOL_pack_and_representation_design,true,true,RBC six-param head underfits non-RBC geometry,future_profile_native_branch
