sample_id,source_pack,source_sample_id,split,defect_type,center_x,center_y,width,length,depth,angle_deg,vertex_count,polygon_area,n_lines,signal_length,signal_shape,mask_shape,mask_area,delta_bz_min,delta_bz_max,delta_bz_mean,delta_bz_std,has_bz_no_defect,has_bz_defect,has_delta_bz,has_mask,has_coords,delta_matches_defect_minus_reference,notes
rect_p2_0001,pilot_v2_rectangular_notch,sample_001,val,rectangular_notch,-0.00075,0.001,0.01,0.0095,0.001,0.0,0,,3,201,"(3, 201)","(64, 128)",480,-0.0019133939309248105,0.0019265660885201745,-2.4033562666926288e-05,0.0007467903728244743,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0002,pilot_v2_rectangular_notch,sample_002,val,rectangular_notch,0.003,0.0,0.008,0.006,0.0016,0.0,0,,3,201,"(3, 201)","(64, 128)",234,-0.001507913534599509,0.0012661985324593965,-6.752034175161746e-05,0.0005894146697775443,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0003,pilot_v2_rectangular_notch,sample_003,train,rectangular_notch,0.003,-0.0005,0.016,0.0065,0.0016,0.0,0,,3,201,"(3, 201)","(64, 128)",525,-0.0015653342121237784,0.0013707096685506483,-5.045027842793362e-05,0.0006137753406688627,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0004,pilot_v2_rectangular_notch,sample_004,train,rectangular_notch,-0.00075,0.0005,0.012,0.007,0.001,0.0,0,,3,201,"(3, 201)","(64, 128)",418,-0.001652444202174942,0.002016329554422782,4.47513658328007e-05,0.0007225003733362451,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0005,pilot_v2_rectangular_notch,sample_005,val,rectangular_notch,0.0,0.001,0.008,0.007,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",264,-0.0015149063642124552,0.0012097972235544743,-7.593215927269734e-05,0.0005089076677895527,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0006,pilot_v2_rectangular_notch,sample_006,val,rectangular_notch,-0.003,-0.0005,0.009,0.006,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",266,-0.0014571779201526932,0.0012983504836472383,-4.031203258575608e-06,0.0005628498254291866,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0007,pilot_v2_rectangular_notch,sample_007,train,rectangular_notch,-0.00075,0.001,0.014,0.01,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",704,-0.0019160470612097139,0.0020264641763368574,2.402420982692949e-05,0.0006965310677851523,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0008,pilot_v2_rectangular_notch,sample_008,train,rectangular_notch,0.00075,0.0,0.014,0.0075,0.0013,0.0,0,,3,201,"(3, 201)","(64, 128)",528,-0.0016747026361254632,0.0016996434849900846,-4.239728030569556e-05,0.0007257615625173737,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0009,pilot_v2_rectangular_notch,sample_009,train,rectangular_notch,-0.00225,0.001,0.013,0.007,0.0013,0.0,0,,3,201,"(3, 201)","(64, 128)",462,-0.0020861941761959124,0.0015165802662540366,-1.7547494411537613e-06,0.0006225683649237505,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0010,pilot_v2_rectangular_notch,sample_010,train,rectangular_notch,0.00225,-0.0005,0.012,0.006,0.0025,0.0,0,,3,201,"(3, 201)","(64, 128)",361,-0.0014201467964567536,0.0012855412785202028,-6.933372151128362e-05,0.00047302567989103227,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0011,pilot_v2_rectangular_notch,sample_011,train,rectangular_notch,0.0015,-0.001,0.013,0.007,0.0025,0.0,0,,3,201,"(3, 201)","(64, 128)",462,-0.0012012778821702467,0.0011513304479134913,-5.8074793560998285e-05,0.00042728676574859607,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0012,pilot_v2_rectangular_notch,sample_012,train,rectangular_notch,-0.00075,0.001,0.016,0.0065,0.0013,0.0,0,,3,201,"(3, 201)","(64, 128)",520,-0.001954881488454489,0.0016730904082690279,-7.376966765750475e-05,0.0007434393692858903,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0013,pilot_v2_rectangular_notch,sample_013,train,rectangular_notch,0.00225,-0.001,0.014,0.008,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",575,-0.001625321846667713,0.0017850662434533942,-1.9249808227610653e-05,0.0006262406288338584,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0014,pilot_v2_rectangular_notch,sample_014,val,rectangular_notch,0.00075,-0.001,0.01,0.01,0.0025,0.0,0,,3,201,"(3, 201)","(64, 128)",512,-0.0011772144974273864,0.00121335147152945,-3.925840159422866e-05,0.0004910330580707348,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0015,pilot_v2_rectangular_notch,sample_015,train,rectangular_notch,-0.003,-0.0005,0.012,0.008,0.0013,0.0,0,,3,201,"(3, 201)","(64, 128)",475,-0.0017887195564337544,0.0017370308817948829,2.5321312727346183e-05,0.0007501007521389876,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0016,pilot_v2_rectangular_notch,sample_016,train,rectangular_notch,0.003,0.0,0.009,0.01,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",448,-0.0014594805714817473,0.0014421538415599138,-1.228045700591912e-05,0.000651408350012804,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0017,pilot_v2_rectangular_notch,sample_017,train,rectangular_notch,0.0015,0.001,0.011,0.01,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",544,-0.001391652914802587,0.0014956974218841815,-1.4655474184745876e-05,0.0005694975870830283,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0018,pilot_v2_rectangular_notch,sample_018,val,rectangular_notch,0.0,0.001,0.011,0.0095,0.001,0.0,0,,3,201,"(3, 201)","(64, 128)",540,-0.0019519533403792677,0.0018892543297381477,-2.7897964798175465e-05,0.0007908291369062271,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0019,pilot_v2_rectangular_notch,sample_019,train,rectangular_notch,-0.003,0.0005,0.016,0.0065,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",525,-0.0011901057809161853,0.001341239012030624,-6.273278653384791e-05,0.000547994801325315,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0020,pilot_v2_rectangular_notch,sample_020,train,rectangular_notch,0.00225,-0.0005,0.012,0.0075,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",437,-0.001429717049035152,0.0014152358181737015,-8.543263697086346e-07,0.0005166329680492435,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0021,pilot_v2_rectangular_notch,sample_021,train,rectangular_notch,-0.003,-0.001,0.015,0.0065,0.0013,0.0,0,,3,201,"(3, 201)","(64, 128)",480,-0.0012655301490116975,0.0014561614564740288,-3.8531971384897155e-05,0.0006437117327335885,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
rect_p2_0022,pilot_v2_rectangular_notch,sample_022,train,rectangular_notch,-0.00225,0.0,0.012,0.0095,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",570,-0.002240740655800339,0.0016447300197137437,-0.00010693810359653214,0.0006548265215096211,True,True,True,True,True,True,balanced pilot_v9 single-defect mixed sample
