sample_index,component_slot,presence,component_type,center_x,center_y,axis_x,axis_y,depth_or_shape_param,rotation_angle
0,0,1.0,rectangular_notch,-0.027483193203806877,-0.0012666666880249977,0.01351111102849245,0.001466666697524488,70.0,0.0
0,1,0.0,,,,,,,
0,2,0.0,,,,,,,
1,0,1.0,rectangular_notch,-0.005131435114890337,-0.0006333333440124989,0.0142222223803401,0.0015999999595806003,75.0,0.0
1,1,0.0,,,,,,,
1,2,0.0,,,,,,,
2,0,1.0,rectangular_notch,0.017541931942105293,0.0,0.014933333732187748,0.0017333333380520344,80.0,0.0
2,1,0.0,,,,,,,
2,2,0.0,,,,,,,
3,0,1.0,rectangular_notch,-0.01799575611948967,0.0006333333440124989,0.015644444152712822,0.001466666697524488,85.0,0.0
3,1,0.0,,,,,,,
3,2,0.0,,,,,,,
4,0,1.0,rectangular_notch,0.004677610471844673,0.0012666666880249977,0.01351111102849245,0.0015999999595806003,70.0,0.0
4,1,0.0,,,,,,,
4,2,0.0,,,,,,,
5,0,1.0,rectangular_notch,0.0270293690264225,-0.0012666666880249977,0.0142222223803401,0.0017333333380520344,75.0,0.0
5,1,0.0,,,,,,,
5,2,0.0,,,,,,,
6,0,1.0,rectangular_notch,-0.008186710998415947,-0.0006333333440124989,0.014933333732187748,0.001466666697524488,80.0,0.0
6,1,0.0,,,,,,,
6,2,0.0,,,,,,,
7,0,1.0,rectangular_notch,0.01416504755616188,0.0,0.015644444152712822,0.0015999999595806003,85.0,0.0
7,1,0.0,,,,,,,
7,2,0.0,,,,,,,
8,0,1.0,rectangular_notch,-0.021051032468676567,0.0006333333440124989,0.01351111102849245,0.0017333333380520344,70.0,0.0
8,1,0.0,,,,,,,
8,2,0.0,,,,,,,
9,0,1.0,rectangular_notch,0.0013007258530706167,0.0012666666880249977,0.0142222223803401,0.001466666697524488,75.0,0.0
9,1,0.0,,,,,,,
9,2,0.0,,,,,,,
10,0,1.0,rectangular_notch,0.023982133716344833,-0.0024747473653405905,0.014488888904452324,0.0016400000313296914,80.0,0.0
10,1,0.0,,,,,,,
10,2,0.0,,,,,,,
11,0,1.0,rectangular_notch,-0.011394751258194447,0.00560606038197875,0.015111111104488373,0.0017600000137463212,85.0,0.0
11,1,0.0,,,,,,,
11,2,0.0,,,,,,,
12,0,1.0,rectangular_notch,0.011117811314761639,0.0007575757335871458,0.013866666704416275,0.00139999995008111,70.0,0.0
12,1,0.0,,,,,,,
12,2,0.0,,,,,,,
13,0,1.0,rectangular_notch,-0.02425907365977764,-0.004090908914804459,0.014488888904452324,0.0015200000489130616,75.0,0.0
13,1,0.0,,,,,,,
13,2,0.0,,,,,,,
14,0,1.0,rectangular_notch,-0.0017465102719143033,0.003989899065345526,0.015111111104488373,0.0016400000313296914,80.0,0.0
14,1,0.0,,,,,,,
14,2,0.0,,,,,,,
15,0,1.0,rectangular_notch,0.022132886573672295,-0.003733333433046937,0.011111111380159855,0.0008666666690260172,85.0,0.0
15,1,0.0,,,,,,,
15,2,0.0,,,,,,,
16,0,1.0,rectangular_notch,-0.01324399746954441,-0.00286666676402092,0.009244444780051708,0.0009666666737757623,70.0,0.0
16,1,0.0,,,,,,,
16,2,0.0,,,,,,,
17,0,1.0,rectangular_notch,0.009268565103411674,-0.0020000000949949026,0.009866666980087757,0.0010666666785255075,75.0,0.0
17,1,0.0,,,,,,,
17,2,0.0,,,,,,,
18,0,1.0,rectangular_notch,-0.02610831893980503,-0.0011333333095535636,0.010488889180123806,0.0008666666690260172,80.0,0.0
18,1,0.0,,,,,,,
18,2,0.0,,,,,,,
19,0,1.0,rectangular_notch,-0.0035957565996795893,-0.00026666666963137686,0.011111111380159855,0.0009666666737757623,85.0,0.0
19,1,0.0,,,,,,,
19,2,0.0,,,,,,,
20,0,1.0,rectangular_notch,0.01891680620610714,0.0006000000284984708,0.009244444780051708,0.0010666666785255075,70.0,0.0
20,1,0.0,,,,,,,
20,2,0.0,,,,,,,
21,0,1.0,rectangular_notch,-0.016460077837109566,-0.004600000102072954,0.009866666980087757,0.0008666666690260172,75.0,0.0
21,1,0.0,,,,,,,
21,2,0.0,,,,,,,
22,0,1.0,rectangular_notch,0.01432888861745596,0.0018533333204686642,0.00800000037997961,0.0007999999797903001,80.0,0.0
22,1,0.0,,,,,,,
22,2,0.0,,,,,,,
23,0,1.0,rectangular_notch,0.01740444451570511,0.0028466666117310524,0.00853333342820406,0.0008666666690260172,85.0,0.0
23,1,0.0,,,,,,,
23,2,0.0,,,,,,,
24,0,1.0,rectangular_notch,-0.015075556002557278,0.0038399999029934406,0.007466666866093874,0.000733333348762244,70.0,0.0
24,1,0.0,,,,,,,
24,2,0.0,,,,,,,
25,0,1.0,rectangular_notch,-0.012000000104308128,-0.0031666667200624943,0.00800000037997961,0.0007999999797903001,75.0,0.0
25,1,0.0,,,,,,,
25,2,0.0,,,,,,,
26,0,1.0,rectangular_notch,-0.008924444206058979,-0.002173333428800106,0.00853333342820406,0.0008666666690260172,80.0,0.0
26,1,0.0,,,,,,,
26,2,0.0,,,,,,,
27,0,1.0,rectangular_notch,-0.0026666666381061077,0.00561616150662303,0.014399999752640724,0.0012000000569969416,85.0,0.0
27,1,0.0,,,,,,,
27,2,0.0,,,,,,,
28,0,1.0,rectangular_notch,0.00142222223803401,0.0008282828493975103,0.012799999676644802,0.0013333333190530539,70.0,0.0
28,1,0.0,,,,,,,
28,2,0.0,,,,,,,
29,0,1.0,rectangular_notch,0.005511111114174128,-0.0040808082558214664,0.013333333656191826,0.001466666697524488,75.0,0.0
29,1,0.0,,,,,,,
29,2,0.0,,,,,,,
