sample_index,split,source_sample_id,source_global_index,hard_case_type,defect_type,defect_center_x,defect_center_y,defect_center_z,defect_axis_x,defect_axis_y,defect_axis_z,defect_depth_or_shape_param,rotation_angle,boundary_irregularity_proxy,component_type_combination,defect_mu,c_magn,mur_magn,Mr_magn_A_per_m,true_rotated_geometry,true_multi_component_geometry,source_component_json,matched_coverage_old_split,matched_coverage_old_sample_index,matched_coverage_source_id
0,train,v3_polygon_repaired_train_016,16,bins_correct_center_or_offset_bad,rotated_rect,-0.0146662199888,-0.000366666666667,208.000000000,0.00826666666667,0.000613333333333,70.0000000000,70.0000000000,0.750000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.008266666666666667,""axis_y"":0.0006133333333333334,""axis_z"":70.0,""center_x"":-0.014666219988799998,""center_y"":-0.00036666666666666667,""center_z"":208.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":70.0,""rotation_angle"":0.75}]",train,16,train_016
1,train,v3_polygon_repaired_train_017,17,bins_correct_center_or_offset_bad,rectangular_notch,0.00784634282524,0.000266666666667,216.000000000,0.00871111111111,0.00068,75.0000000000,75.0000000000,0.00000000000,0.500000000000,rectangular_notch,1.0,0.25,3.5,60.0,false,false,"[{""axis_x"":0.00871111111111111,""axis_y"":0.00068,""axis_z"":75.0,""center_x"":0.007846342825244443,""center_y"":0.0002666666666666667,""center_z"":216.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":0.0}]",train,17,train_017
2,train,v3_polygon_repaired_train_018,18,bins_correct_center_or_offset_bad,rotated_rect,-0.0275305415969,-0.0048,224.000000000,0.00915555555556,0.000746666666667,80.0000000000,80.0000000000,-0.750000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.009155555555555556,""axis_y"":0.0007466666666666666,""axis_z"":80.0,""center_x"":-0.027530541596871107,""center_y"":-0.0048,""center_z"":224.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":80.0,""rotation_angle"":-0.75}]",train,18,train_018
3,train,v3_polygon_repaired_train_019,19,bins_correct_center_or_offset_bad,rotated_rect,-0.00501797878276,-0.00416666666667,232.000000000,0.0096,0.000813333333333,85.0000000000,85.0000000000,0.750000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.0096,""axis_y"":0.0008133333333333333,""axis_z"":85.0,""center_x"":-0.005017978782755554,""center_y"":-0.004166666666666667,""center_z"":232.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":85.0,""rotation_angle"":0.75}]",train,19,train_019
4,train,v3_polygon_repaired_train_020,20,bins_correct_center_or_offset_bad,rectangular_notch,0.0174945840313,-0.00353333333333,200.000000000,0.00782222222222,0.000613333333333,70.0000000000,70.0000000000,0.00000000000,0.500000000000,rectangular_notch,1.0,0.25,3.5,60.0,false,false,"[{""axis_x"":0.007822222222222222,""axis_y"":0.0006133333333333334,""axis_z"":70.0,""center_x"":0.01749458403128889,""center_y"":-0.003533333333333333,""center_z"":200.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":70.0,""rotation_angle"":0.0}]",train,20,train_020
5,train,v3_polygon_repaired_train_021,21,bins_correct_center_or_offset_bad,rotated_rect,-0.0178823003908,-0.0029,208.000000000,0.00826666666667,0.00068,75.0000000000,75.0000000000,-0.750000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.008266666666666667,""axis_y"":0.00068,""axis_z"":75.0,""center_x"":-0.017882300390755553,""center_y"":-0.0029,""center_z"":208.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":75.0,""rotation_angle"":-0.75}]",train,21,train_021
6,train,v3_polygon_repaired_val_006,36,bins_correct_center_or_offset_bad,rotated_rect,-0.0206479061977,-0.00384,208.000000000,0.00826666666667,0.000613333333333,70.0000000000,70.0000000000,-0.250000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.008266666666666667,""axis_y"":0.0006133333333333334,""axis_z"":70.0,""center_x"":-0.02064790619768889,""center_y"":-0.00384,""center_z"":208.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":70.0,""rotation_angle"":-0.25}]",val,6,val_006
7,train,v3_polygon_repaired_test_003,43,both_bins_wrong_like,multi_defect,0.011570742602,-0.0014575757576,226.000000000,0.0142222222222,0.0022,85.0000000000,85.0000000000,-0.350000000000,0.500000000000,rotated_rect|rectangular_notch,1.0,0.25,3.5,60.0,true,true,"[{""axis_x"":0.009244444444444444,""axis_y"":0.0008666666666666666,""axis_z"":85.0,""center_x"":0.008370742601955555,""center_y"":-0.0021575757575999993,""center_z"":224.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":85.0,""rotation_angle"":-0.35},{""axis_x"":0.0063999999999999994,""axis_y"":0.0007333333333333333,""axis_z"":85.0,""center_x"":0.014770742601955555,""center_y"":-0.0007575757575999994,""center_z"":228.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":85.0,""rotation_angle"":0.0}]",test,3,test_003
8,train,v3_polygon_repaired_test_004,44,both_bins_wrong_like,rotated_rect,-0.00127749860409,0.00107474747473,232.000000000,0.0096,0.000933333333333,70.0000000000,70.0000000000,0.350000000000,0.500000000000,rotated_rect,1.0,0.25,3.5,60.0,true,false,"[{""axis_x"":0.0096,""axis_y"":0.0009333333333333333,""axis_z"":70.0,""center_x"":-0.0012774986040888891,""center_y"":0.0010747474747333338,""center_z"":232.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":70.0,""rotation_angle"":0.35}]",test,4,test_004
9,train,v3_polygon_repaired_train_011,11,both_bins_wrong_like,multi_defect,0.011570742602,0.0001585858586,210.000000000,0.0144,0.00223333333333,85.0000000000,85.0000000000,-0.350000000000,0.500000000000,rotated_rect|rectangular_notch,1.0,0.25,3.5,60.0,true,true,"[{""axis_x"":0.0096,""axis_y"":0.0009333333333333333,""axis_z"":85.0,""center_x"":0.008370742601955555,""center_y"":-0.0005414141414000005,""center_z"":208.0,""component_type"":""rotated_rect"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":85.0,""rotation_angle"":-0.35},{""axis_x"":0.0063999999999999994,""axis_y"":0.0007333333333333333,""axis_z"":85.0,""center_x"":0.014770742601955555,""center_y"":0.0008585858585999995,""center_z"":212.0,""component_type"":""rectangular_notch"",""coordinate_convention"":""v2_compatible_normalized_xy"",""depth_or_shape_param"":85.0,""rotation_angle"":0.0}]",train,11,train_011
