sample_index,split,component_index,presence,hard_case_type,component_type,vertex_ordering,raw_x0,raw_y0,raw_x1,raw_y1,raw_x2,raw_y2,raw_x3,raw_y3,norm_x0,norm_y0,norm_x1,norm_y1,norm_x2,norm_y2,norm_x3,norm_y3,source_geometry_type,is_true_rotated,is_true_multi_component,geometry_feature_tag,selection_name,union_selection_name,component_count,matched_coverage_old_split,matched_coverage_old_sample_index,matched_coverage_source_id
0,train,0,1,bins_correct_center_or_offset_bad,rotated_rect,clockwise_top_left,1193.14716586,1395.96060996,1191.94292307,1487.95272810,1656.90308539,1494.03939004,1658.10732819,1402.04727190,-0.0187884948291,-0.000693595933592,-0.0188099035899,-8.03151460129e-05,-0.0105439451486,-3.97373997417e-05,-0.0105225363878,-0.000653018187320,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,train,16,train_016
1,train,0,1,bins_correct_center_or_offset_bad,rectangular_notch,clockwise_top_left,2446.35678392,1489.00000000,2446.35678392,1591.00000000,2936.35678392,1591.00000000,2936.35678392,1489.00000000,0.00349078726968,-7.33333333333e-05,0.00349078726968,0.000606666666667,0.0122018983808,0.000606666666667,0.0122018983808,-7.33333333333e-05,rectangular_notch,false,false,blk1,geom1_blk1_dom,,1,train,17,train_017
2,train,0,1,bins_correct_center_or_offset_bad,rotated_rect,clockwise_top_left,958.151957174,720.634226796,443.196078474,727.375368515,444.662113178,839.365773204,959.617991878,832.624631485,-0.0229661874280,-0.00519577182136,-0.0321209586049,-0.00515083087656,-0.0320948957657,-0.00440422817864,-0.0229401245888,-0.00444916912344,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,train,18,train_018
3,train,0,1,bins_correct_center_or_offset_bad,rotated_rect,clockwise_top_left,1698.56029035,810.471035214,1696.96335969,932.460583178,2236.91709658,939.528964786,2238.51402724,817.539416822,-0.00980337261596,-0.00459685976524,-0.00983176249436,-0.00378359611215,-0.000232584949645,-0.00373647356809,-0.000204195071250,-0.00454973722119,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,train,19,train_019
4,train,0,1,bins_correct_center_or_offset_bad,rectangular_notch,clockwise_top_left,3014.07035176,924.000000000,3014.07035176,1016.00000000,3454.07035176,1016.00000000,3454.07035176,924.000000000,0.0135834729202,-0.00384000000000,0.0135834729202,-0.00322666666667,0.0214056951424,-0.00322666666667,0.0214056951424,-0.00384000000000,rectangular_notch,false,false,blk1,geom1_blk1_dom,,1,train,20,train_020
5,train,0,1,bins_correct_center_or_offset_bad,rotated_rect,clockwise_top_left,1475.93311480,1010.96103832,1010.97295248,1017.04770026,1012.30809123,1119.03896168,1477.26825355,1112.95229974,-0.0137611890702,-0.00326025974451,-0.0220271475115,-0.00321968199824,-0.0220034117115,-0.00253974025549,-0.0137374532702,-0.00258031800176,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,train,21,train_021
6,train,0,1,bins_correct_center_or_offset_bad,rotated_rect,clockwise_top_left,1320.85235092,876.985968478,855.856777387,879.014907296,856.258201841,971.014031522,1321.25377538,968.985092704,-0.0165181804280,-0.00415342687681,-0.0247847684020,-0.00413990061803,-0.0247776319673,-0.00352657312319,-0.0165110439933,-0.00354009938197,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,val,6,val_006
7,train,0,1,both_bins_wrong_like,rotated_rect,clockwise_top_left,2980.45236040,1109.77660938,2460.46206244,1112.95308886,2461.25618231,1242.95066335,2981.24648027,1239.77418387,0.0129858197405,-0.00260148927082,0.00374154777669,-0.00258031274094,0.00375566546328,-0.00171366224433,0.0129999374271,-0.00173483877422,rotated_rect,true,true,blk1,geom1_uni1_dom,geom1_uni1_dom,2,test,3,test_003
7,train,1,1,both_bins_wrong_like,rectangular_notch,clockwise_top_left,2900.85427136,1331.36363636,2900.85427136,1441.36363636,3260.85427136,1441.36363636,3260.85427136,1331.36363636,0.0115707426019,-0.00112424242424,0.0115707426019,-0.000390909090909,0.0179707426019,-0.000390909090909,0.0179707426019,-0.00112424242424,rectangular_notch,false,true,blk2,geom1_uni1_dom,geom1_uni1_dom,2,test,3,test_003
8,train,0,1,both_bins_wrong_like,rotated_rect,clockwise_top_left,1908.57334412,1589.56410137,1907.71813811,1729.56148928,2447.70806292,1732.86014105,2448.56326893,1592.86275314,-0.00606980721565,0.000597094009132,-0.00608501087813,0.00153040992856,0.00351481000738,0.00155240094036,0.00353001366987,0.000619085020938,rotated_rect,true,false,blk1,geom1_blk1_dom,,1,test,4,test_004
